Filename,True,Prediction
Alcoholic Beverage/4ASR13PTWBMYZ2QXBZRN2Q9U.jpg,Alcoholic Beverage,milk
Alcoholic Beverage/F67TE428C6B4PPEZWSKCXXQU.jpg,Alcoholic Beverage,Fruit juice
Alcoholic Beverage/QMOOZ8W3FPIR1GQHKPRFXS2F.jpg,Alcoholic Beverage,milk
Alcoholic Beverage/UP88BZSC7YTQZR67Y6Y4RF9I.jpg,Alcoholic Beverage,Fruit juice
Apple/05SZBBV9AHYRG7REBDQ0AFSS.jpg,Apple,cherries
Apple/3SIKRP4X6PI6ED0751C5BAJF.jpg,Apple,A
Apple/C6V554NRLO6H1MQ99YNVEXXG.jpg,Apple,rock melon
Apple/GKCAXYEKBMNGYVWMW90MTIR6.jpg,Apple,mangosteen
Apple/HLVA4RY5ISI2RO2BQR95P1DJ.jpg,Apple,Fruit juice
Apple/LT9SFFVXC545U1WOL5Q3OOKY.jpg,Apple,cherries
Apple/RVJL7BLOM3MZOTKYTE0RZ3N4.jpg,Apple,honeydew
Apple/Y6ZDUGTHU14RM348JGEYCRO9.jpg,Apple,Nuts
Apricot/A0LRI740YQU830EZK5ULY64K.jpg,Apricot,Grape
Apricot/IU4HL5UBDKWNSQPTQWAM9NHU.jpg,Apricot,preserved fruit snacks
Apricot/JMOJNQFWDN98VXXVTDS34WG5.jpg,Apricot,vadai
Apricot/KIMIC25S314054EQU9RSN2O9.jpg,Apricot,tandoori chicken
Apricot/Q7AMX91FN4U82PBD1179QANO.jpg,Apricot,strawberry
Apricot/QA1379I9KNL3CMGD8ZU098SF.jpg,Apricot,Persimmon
Apricot/XNI3U7KXFFEB9T35G3HNGN0D.jpg,Apricot,A
Avocados/81IRLHRQ33X4BTGKGP64MF3X.jpg,Avocados,salad
Avocados/V2P28V421H53HITY8PHMOCYP.jpg,Avocados,breakfast cereal
Avocados/ZFMX39Q6Z1YAJ7NMLPD4CNTA.jpg,Avocados,guava
Ban Mian/1ZM7SHV3KSGA875VVXNUHON4.jpg,Ban Mian,Seafood Noodles Soup
Ban Mian/4IN0UYO7ES3P1KQN1JIICHCD.jpg,Ban Mian,Udon
Ban Mian/52J91EXW3K7P6S96GZUCJ972.jpg,Ban Mian,mee pok
Ban Mian/5CU3U2Q03HPB5C79C1Y3Y42L.jpg,Ban Mian,beef noodle soup
Ban Mian/ELYQ7LDGO8UY0W7HW1CU1JP6.jpg,Ban Mian,sliced fish soup
Ban Mian/GXS02ZIFT7CXXFU6YEPNNEMP.jpg,Ban Mian,Prawn Noodle
Ban Mian/GZLIZ0PQ3J1VNHFHG7KDDTAA.jpg,Ban Mian,sliced fish soup
Ban Mian/K02MBCJNV6XWQLV85LBL0OKH.jpg,Ban Mian,B
Ban Mian/KUDNFRKIXMA0ZSCY8IUT9UKG.jpg,Ban Mian,Hor Fun
Ban Mian/LY3UVQHZYS06S7NLGTKY8O1C.jpg,Ban Mian,Dumpling noodle soup
Ban Mian/O6IB5P91ESO517NTUTIUIASV.jpg,Ban Mian,Udon
Ban Mian/PFY2MHETDVD73MR1LKDHOALJ.jpg,Ban Mian,Lor mee
Ban Mian/S14DJ7WUHM004HFOF9L63IDR.jpg,Ban Mian,Udon
Ban Mian/T175PLPOVGTQYA50O2T20A8J.jpg,Ban Mian,Dumpling noodle soup
Barley/4IMFP8ICG24PUSEVF7M4FQJ9.jpg,Barley,breakfast cereal
Barley/6WWROOM4MEM9A6C1U77HFQ22.jpg,Barley,mixed vegetables
Barley/85VIYZTXKGSAT7NQOH8DJEJQ.jpg,Barley,buckwheat
Barley/9CMMZ5K4E766YBVZE9ZKD5JN.jpg,Barley,cooked brown rice
Barley/AN3LLMFMUZDMB8VIRBOL2QG5.jpg,Barley,"Pilaf, pea"
Barley/EDAR2G1K8T7LTHUEOT7D8EM5.jpg,Barley,salad
Barley/EZ6NSFOYLCASY668S1PUT0LF.jpg,Barley,cooked brown rice
Barley/H6PL4B22QAQ2UMQ562ACR50Y.jpg,Barley,buckwheat
Barley/O54MOJ8YWZNT5FPZSWSPV5R4.jpg,Barley,thunder tea rice
Barley/QH6S2RLE627JAEYDP2V1T3L3.jpg,Barley,breakfast cereal
Barley/QNC2V4VENCJXEQ4LR8JXX0X9.jpg,Barley,wholegrain pasta
Barley/RFP5MWS3XTEM78F00WA378BK.jpg,Barley,"Pilaf, pea"
Barley/S8TJIX7EC90SZZF7CL9AVK9M.jpg,Barley,seaweed snack
Barley/WUOYSMATCOSJNCAC15KXETF4.jpg,Barley,buckwheat
Barley/YLG0P723G06EXEVZF5B6T4K8.jpg,Barley,B
"Bee hoon, goreng/13ZO6OMFBI09LMQMOGQGNQXI.jpg","Bee hoon, goreng","Mee siam, fried"
"Bee hoon, goreng/4EAQZPWA3G15XXSGKTYT60YN.jpg","Bee hoon, goreng",vegetarian bee hoon
"Bee hoon, goreng/7DRSAS86YXC7ZFFQLH8YJIF1.jpg","Bee hoon, goreng",bee hoon
"Bee hoon, goreng/8TK1NE8MLPQMNQUCI8TG89IM.jpg","Bee hoon, goreng",Udon
